id	author
0	None
1	Charles Sykes
2	Yogi Berra
3	Michael Crichton
4	Hegar
5	Ken Bensinger
6	Grace Coddington
7	Marie Brennan
8	David George Haskell
9	Chris Russell
10	Peter Kiernan
11	Alan Russell
12	Kristin Tate
13	Faith Hunter
14	Rwitwika Bhattacharya Agarwal
15	Melissa Kate
16	Rinku Paul
17	Good Night Yoga
18	Michael Katz Krefeld
19	Joe Drape
20	Wayne Tefs
21	Charles Swayne
22	Tatiana Roces
23	Joe Schwarcz
24	David Zobel
25	Dennis Prescott
26	Victoria Ying
27	Pete Raymundo
28	John Harvey
29	Peony Literary Agency
30	Hannah Harrison
31	Vivacia Ahwen
32	Csilla Beke
33	Daria Song
34	Martine Agassi
35	Elizabeth Verdick
36	Stephan Talty
37	Iain Lawrence
38	Bryan Denson
39	Neil Peart
40	Chef Boston
41	Kimberly Bell
42	Pamela McClanahan
43	Pamala Brondos
44	Olivia Dade
45	Robin MacArthur
46	Terri Osburn
47	Beth Ain
48	Frank Cole
49	Rachel Vincent
50	Jenny Torres Sanchez
51	Rachel Caine
52	Marion Jensen
53	Lauren Blakely
54	Mia Sheridan
55	Maori Murota
56	Melanie Dupuis
57	Mickey Trescott
58	Jennifer Mason-Black
59	Blanche Vaughan
60	Helena Hunting
61	Claudia Winkler
62	Charlotte McDonald-Gibson
63	James
64	
65	Bengali Speculative Fiction
66	Richmond
67	Deborah Hocking
68	Thomas Ligotti
69	Ranendra
70	Gaye Forman
71	Peter Leonard
72	Tara Allmen
73	Anne Nelson
74	Jojo Moyes
75	Betsy Schow
76	John All
77	Faith Hunter
78	Alan Friedman
79	Noelle Stevenson
80	Geraldine Brooks
81	Brian Keyser
82	Gina Mulligan
83	Nancy Thayer
84	Shari Goldhagen
85	Rachel
86	Tricia Dower
87	Ohlsson
88	William Vollmann
89	Eric Rosswood
90	Daniels
91	Mia Asher
92	Helena Hunting
93	Claire Contreras
94	Nicole Baart
95	Lauren Smith Brody
96	Doreen Cronin
97	Ann Marie Stephens
98	Michelangelo Signorile
99	Elizabeth Heaney
100	Padraig O'Morain
101	Lauren Blakely
102	Marcia Batista
103	Tracey Cleantis
104	Andrew Jennings
105	Mark Lawrence
106	Thomas Ligotti
107	Watson
108	Jason Aaron
109	Professor Ron Armstrong
110	Lambda
111	Jonathan Watkins
112	Margaret Windsor
113	Brunner
