eval	set_ratio	sort_ratio	ratio	overlap	soundex	score	max	reverse	x_name	y_name	x_id	y_id
1	93	93	93	1	1	281	281	0	various artists	various aritsts	1	4883
1	100	100	100	1	1	302	302	0	various artists	various artists	1	4884
1	100	100	100	1	1	302	302	0	massive attack	massive attack	4	2982
1	100	100	100	1	1	302	302	0	robert miles	robert miles	9	3922
1	100	100	100	1	1	302	302	0	bob dylan	bob dylan	17	528
1	100	100	56	1	0	257	257	1	bob dylan	dylan bob	17	1355
1	100	100	56	1	0	257	257	1	bob dylan	dylan bob	17	1356
1	100	100	56	1	0	257	257	1	tom waits	waits tom	23	4951
1	100	100	100	1	1	302	302	0	stevie wonder	stevie wonder	29	4429
1	100	100	46	1	0	247	247	1	stevie wonder	wonder stevie	29	5089
1	100	100	100	1	1	302	302	0	rammstein	rammstein	34	3816
1	100	100	100	1	1	302	302	0	alanis morissette	alanis morissette	40	91
1	100	100	59	1	0	260	260	1	alanis morissette	morissette alanis	40	3183
1	100	100	100	1	1	302	302	0	dusty springfield	dusty springfield	46	1352
1	100	100	100	1	1	302	302	0	nirvana	nirvana	54	3360
1	100	100	100	1	1	302	302	0	tori amos	tori amos	60	4750
1	100	100	100	1	1	302	302	0	portishead	portishead	65	3711
1	100	100	100	1	1	302	302	0	radiohead	radiohead	66	3802
1	100	100	100	1	1	302	302	0	harold faltermeyer	harold faltermeyer	70	1954
1	100	77	77	.63157892	0	254.63158	254.63158	0	cypress hill	b-real cypress hill	84	303
1	100	100	100	1	1	302	302	0	cypress hill	cypress hill	84	955
1	100	100	100	1	1	302	302	0	enya	enya	88	1450
1	100	100	100	1	1	302	302	0	madonna	madonna	89	2883
1	100	100	100	1	1	302	302	0	metallica	metallica	93	3063
1	100	82	75	.60000002	0	257.60001	257.60001	0	metallica	metallica & ost	93	3064
1	100	100	100	1	1	302	302	0	frank sinatra	frank sinatra	101	1651
1	100	100	54	1	0	255	255	1	frank sinatra	sinatra frank	101	4249
1	100	100	54	1	0	255	255	1	frank sinatra	sinatra frank	101	4250
1	100	100	50	1	0	251	251	1	mariah carey	carey mariah	111	717
1	100	100	100	1	1	302	302	0	mariah carey	mariah carey	111	2921
